Customer ID,MRR
CUS-5602550,"$1,898"
CUS-683100,$600
CUS-150500,"$17,650"
CUS-701050,"$1,350"
CUS-778300,"$11,216"
CUS-902900,"$5,590"
CUS-950450,"$2,664"
CUS-1025800,"$2,300"
CUS-1160900,"$8,837"
CUS-1165050,"$1,182"
CUS-257050,"$4,000"
CUS-1242200,"$2,772"
CUS-1252550,"$6,500"
CUS-1279700,"$3,200"
CUS-151150,"$6,780"
CUS-1430500,"$2,700"
CUS-1430550,"$3,600"
CUS-1435400,$720
CUS-1435500,"$2,000"
CUS-1441600,"$1,000"
CUS-1441650,"$1,300"
CUS-1446900,"$2,870"
CUS-1450100,"$2,825"
CUS-1450450,"$8,232"
CUS-1450500,"$6,000"
CUS-1456750,"$9,182"
CUS-1457450,"$2,500"
CUS-1462300,"$3,585"
CUS-1465950,"$1,493"
CUS-1466150,"$1,000"
CUS-1468500,"$1,189"
CUS-1468650,"$1,770"
CUS-1468900,"$5,293"
CUS-1471050,$900
CUS-1471100,$900
CUS-1473450,"$2,859"
CUS-1473550,"$3,427"
CUS-1473600,"$3,144"
CUS-1473650,"$3,997"
CUS-1474000,"$1,862"
CUS-1474050,"$1,862"
CUS-1474600,"$1,600"
CUS-1476900,"$1,399"
CUS-1480300,"$1,403"
CUS-1486050,"$5,449"
CUS-1486150,"$8,298"
CUS-1487700,"$3,000"
CUS-1488600,$500
CUS-1490900,"$2,599"
CUS-1493700,"$1,500"
CUS-1499600,"$4,951"
CUS-1499950,"$1,618"
CUS-1500000,"$2,533"
CUS-1500500,"$2,184"
CUS-1501050,"$3,644"
CUS-1513300,"$4,745"
CUS-1513550,"$6,006"
CUS-1516800,"$1,080"
CUS-1517050,"$2,485"
CUS-1517250,"$3,941"
CUS-1517750,$500
CUS-1517850,"$2,367"
CUS-1518200,"$1,375"
CUS-1520800,"$2,412"
CUS-1520950,"$3,324"
CUS-1528350,"$7,500"
CUS-1528400,"$4,705"
CUS-1535100,"$1,860"
CUS-1536300,"$2,680"
CUS-1538000,"$3,300"
CUS-1551800,"$15,880"
CUS-1554150,"$1,300"
CUS-1558100,"$1,000"
CUS-1559800,"$4,062"
CUS-1565600,"$2,357"
CUS-1567500,"$1,488"
CUS-1567550,"$1,984"
CUS-1567600,$992
CUS-1567650,$856
CUS-1582300,"$2,580"
CUS-1582450,"$1,470"
CUS-1585350,"$3,906"
CUS-1586550,"$4,500"
CUS-151450,"$1,750"
CUS-316250,"$12,699"
CUS-414650,"$3,200"
CUS-462250,"$1,753"
CUS-463400,"$2,300"
CUS-463450,"$2,500"
CUS-463500,"$3,400"
CUS-505000,"$2,600"
CUS-619650,"$3,550"
CUS-5599400,"$2,850"
CUS-692150,"$7,571"
CUS-724550,"$4,161"
CUS-763850,"$8,504"
CUS-795950,"$4,643"
CUS-796050,"$5,346"
CUS-862100,"$1,127"
CUS-862150,$938
CUS-912150,"$5,803"
CUS-949800,"$2,884"
CUS-957900,"$18,953"
CUS-1010150,$679
CUS-1030400,"$1,761"
CUS-1087300,"$3,714"
CUS-1103750,"$5,245"
CUS-1130700,"$3,740"
CUS-1130750,$960
CUS-1172200,"$5,717"
CUS-1172350,"$2,006"
CUS-1172500,"$1,143"
CUS-1234250,"$3,857"
CUS-1286600,"$14,429"
CUS-1310400,"$7,928"
CUS-1364950,$960
CUS-1373400,"$2,775"
CUS-1437100,"$5,699"
CUS-1446250,"$3,393"
CUS-1449400,"$2,133"
CUS-1451700,"$4,770"
CUS-1453250,"$5,952"
CUS-1456250,$960
CUS-1460350,$938
CUS-1466300,"$5,296"
CUS-1466350,$576
CUS-1473850,"$3,319"
CUS-1477300,"$13,619"
CUS-1478700,"$1,457"
CUS-1478750,"$1,761"
CUS-1485150,"$5,744"
CUS-1487050,"$3,500"
CUS-1493800,"$7,366"
CUS-1494000,"$21,497"
CUS-1499650,"$5,698"
CUS-1500450,"$4,415"
CUS-1503100,"$35,506"
CUS-1503750,$308
CUS-1503850,$308
CUS-1506000,"$3,750"
CUS-1506050,"$2,700"
CUS-1506100,"$1,650"
CUS-1506200,"$2,550"
CUS-1506250,"$3,150"
CUS-1506300,"$3,525"
CUS-1509650,"$2,624"
CUS-1509750,"$4,643"
CUS-1510550,"$3,071"
CUS-1511250,"$4,151"
CUS-1511300,"$2,290"
CUS-1511600,"$2,925"
CUS-1513900,"$10,156"
CUS-1516250,"$2,973"
CUS-1534450,"$1,286"
CUS-1534700,$857
CUS-1536050,"$5,062"
CUS-1538600,"$7,443"
CUS-1548450,"$46,606"
CUS-1549550,$993
CUS-1552200,"$4,566"
CUS-1552300,"$2,029"
CUS-1559050,"$10,076"
CUS-1559100,"$9,191"
CUS-1559150,"$1,238"
CUS-1559200,"$1,229"
CUS-1559250,"$13,335"
CUS-1559900,"$23,214"
CUS-1561300,"$2,538"
CUS-1562650,"$2,372"
CUS-1562700,"$2,694"
CUS-1567350,$997
CUS-1569850,"$2,786"
CUS-1584400,"$6,323"
CUS-1585500,"$3,283"
CUS-1585900,"$5,261"
CUS-1585950,"$2,783"
CUS-1586100,"$6,452"
CUS-1586150,"$5,651"
CUS-1586200,"$6,637"
CUS-1586250,"$3,467"
CUS-1587450,"$2,857"
CUS-1595650,"$13,237"
CUS-1597400,$714
CUS-1597700,"$5,254"
CUS-1598800,$735
CUS-556900,"$14,874"
CUS-558150,"$7,664"
CUS-5599700,"$16,859"
CUS-5604900,"$5,552"
CUS-1446600,"$27,954"
CUS-1456600,"$1,200"
CUS-1460150,"$9,506"
CUS-1460200,"$12,746"
CUS-1460300,"$12,042"
CUS-1474350,$570
CUS-1484400,"$5,986"
CUS-1485100,"$4,334"
CUS-1489750,"$33,650"
CUS-1489800,"$3,802"
CUS-1492800,"$2,799"
CUS-1492950,"$7,421"
CUS-1493500,"$3,825"
CUS-1493550,"$5,590"
CUS-1496900,"$6,534"
CUS-1499750,"$46,206"
CUS-1500900,"$14,639"
CUS-1502300,"$2,701"
CUS-1509850,"$8,215"
CUS-1511400,"$2,087"
CUS-1516700,"$15,570"
CUS-1518000,"$3,992"
CUS-1518050,"$4,572"
CUS-1520650,"$1,620"
CUS-1520700,"$2,775"
CUS-1520750,"$4,048"
CUS-1526800,"$5,068"
CUS-1531100,"$3,973"
CUS-1534800,"$2,798"
CUS-1536550,"$2,852"
CUS-1541800,"$1,673"
CUS-1541850,"$4,968"
CUS-1554450,"$6,075"
CUS-1559300,"$1,620"
CUS-1566350,"$2,852"
CUS-1570150,"$12,900"
CUS-1573900,"$11,247"
CUS-1574200,"$1,046"
CUS-1577450,"$1,233"
CUS-1577700,"$22,713"
CUS-1586300,"$3,042"
CUS-5604300,"$16,222"
CUS-726400,"$2,737"
CUS-783450,"$1,237"
CUS-1450750,"$2,632"
CUS-1454650,"$1,153"
CUS-1455650,"$10,311"
CUS-1460700,"$1,789"
CUS-1469300,$737
CUS-1473000,$664
CUS-1490950,$102
CUS-1491000,$102
CUS-1496700,"$5,530"
CUS-1503950,"$4,134"
CUS-1530900,"$3,391"
CUS-1574350,"$6,295"
CUS-1575050,"$1,785"
CUS-5607950,$842
CUS-1347050,"$2,105"
CUS-1469550,"$6,579"
CUS-1494300,"$6,842"
CUS-1502700,"$4,737"
CUS-1513950,"$12,263"
CUS-1515700,"$9,500"
CUS-1517800,"$2,632"
CUS-1528200,"$3,158"
CUS-1529600,$843
CUS-1537800,"$5,000"
CUS-1542650,"$5,526"
CUS-1543600,$263
CUS-1543650,"$3,316"
CUS-1543700,$158
CUS-1543800,$526
CUS-1544800,$211
CUS-1560950,"$3,947"
CUS-1567800,"$4,140"
CUS-1598950,"$2,105"
CUS-712600,"$3,913"
CUS-714500,"$3,427"
CUS-714600,"$5,944"
CUS-1450300,"$6,040"
CUS-1451500,"$15,670"
CUS-1463400,"$13,876"
CUS-1471600,"$8,341"
CUS-1487750,"$4,094"
CUS-1510850,"$4,094"
CUS-394200,"$6,242"
CUS-660400,"$1,400"
CUS-667900,"$2,800"
CUS-155350,"$13,000"
CUS-768850,"$4,200"
CUS-1102150,"$1,491"
CUS-1281200,"$1,426"
CUS-1285150,"$2,178"
CUS-1290050,"$6,982"
CUS-272600,"$4,120"
CUS-1437150,$357
CUS-1446100,"$1,610"
CUS-1454950,"$3,296"
CUS-1465200,"$10,692"
CUS-1466200,"$1,731"
CUS-1468750,"$1,568"
CUS-1468800,"$1,225"
CUS-1470800,"$4,500"
CUS-1471300,"$2,000"
CUS-1472300,"$7,975"
CUS-1472500,"$2,000"
CUS-1472650,"$3,400"
CUS-1474400,"$1,754"
CUS-1476650,"$4,183"
CUS-1478900,"$1,117"
CUS-1480550,"$1,313"
CUS-1482900,$990
CUS-1483150,"$1,015"
CUS-1489100,"$2,150"
CUS-1489250,"$2,100"
CUS-1489300,$800
CUS-1489350,$800
CUS-1491900,"$2,275"
CUS-1492050,$525
CUS-1492100,"$4,150"
CUS-1493250,$980
CUS-1499500,$875
CUS-1506700,"$6,030"
CUS-1508200,$500
CUS-1508250,$500
CUS-1508300,"$1,500"
CUS-1510050,$150
CUS-1510100,$150
CUS-1510150,"$1,000"
CUS-1510350,"$1,250"
CUS-1516200,"$1,000"
CUS-1517200,"$1,889"
CUS-1531150,"$1,430"
CUS-1536150,"$1,690"
CUS-1536400,"$1,602"
CUS-1544950,$780
CUS-1554550,"$4,521"
CUS-1559400,"$1,200"
CUS-1560700,"$2,269"
CUS-1561000,"$1,668"
CUS-1568050,"$2,205"
CUS-1570500,"$2,571"
CUS-164850,"$49,980"
CUS-338100,"$1,200"
CUS-532950,"$2,314"
CUS-190300,"$2,500"
CUS-580650,"$3,230"
CUS-715900,$745
CUS-796350,$248
CUS-833950,"$4,048"
CUS-224800,"$1,528"
CUS-960300,"$1,451"
CUS-237600,"$2,291"
CUS-1485200,"$1,910"
CUS-1485400,"$1,528"
CUS-1510400,"$9,227"
CUS-1530300,"$1,887"
CUS-340450,"$3,132"
CUS-361800,"$1,528"
CUS-362650,"$1,375"
CUS-552650,$993
CUS-645900,$745
CUS-5603000,"$1,980"
CUS-796400,"$11,142"
CUS-830700,$497
CUS-1005900,"$29,012"
CUS-1006000,"$3,257"
CUS-1068750,"$5,571"
CUS-243550,"$6,985"
CUS-1086200,"$9,256"
CUS-244800,"$8,399"
CUS-1465150,"$6,574"
CUS-1470400,"$33,433"
CUS-1475350,"$4,114"
CUS-1520300,"$3,163"
CUS-1532500,"$6,257"
CUS-1542150,"$7,028"
CUS-1551650,"$3,428"
CUS-1552700,"$2,571"
CUS-1563250,"$1,457"
CUS-1579000,"$1,363"
CUS-1589750,"$3,000"
CUS-1600200,"$3,428"
CUS-419600,"$8,571"
CUS-1525900,"$15,518"
CUS-1570200,"$5,391"
CUS-200350,"$27,356"
CUS-671450,"$5,950"
CUS-208800,$588
CUS-236800,"$1,800"
CUS-1082550,"$6,250"
CUS-1283250,"$43,559"
CUS-161650,"$3,170"
CUS-1336650,"$2,580"
CUS-1435350,"$6,318"
CUS-1442050,"$13,599"
CUS-1453750,"$2,000"
CUS-1453950,"$3,330"
CUS-1471400,$588
CUS-1471650,$196
CUS-1471700,$196
CUS-1471750,$196
CUS-1471800,$588
CUS-1471850,$588
CUS-1471900,$588
CUS-1471950,$588
CUS-1472000,$196
CUS-1472050,$196
CUS-1472150,$588
CUS-1473400,"$2,000"
CUS-1481050,"$1,238"
CUS-1481600,"$1,038"
CUS-1492600,"$4,379"
CUS-1511100,"$3,266"
CUS-1526750,"$2,904"
CUS-1541350,"$4,858"
CUS-1548400,"$4,037"
CUS-1588050,"$3,491"
CUS-1607700,"$2,898"
CUS-1607800,"$2,973"
CUS-338700,$595
CUS-346400,$588
CUS-421850,$588
CUS-513950,$588
CUS-514050,$196
CUS-514100,$196
CUS-552600,"$4,000"
CUS-626250,"$7,741"
CUS-5600750,"$5,095"
CUS-5603850,$581
CUS-5603900,$426
CUS-5603950,$337
CUS-5604000,$157
CUS-5604350,"$2,848"
CUS-1091150,"$4,737"
CUS-1129750,"$2,557"
CUS-1162550,"$5,789"
CUS-1352250,"$2,557"
CUS-1352350,"$2,557"
CUS-1352400,"$2,557"
CUS-1352450,"$2,557"
CUS-1437300,"$6,253"
CUS-1438550,"$6,445"
CUS-1442600,"$6,444"
CUS-1445750,"$6,026"
CUS-1461150,"$1,822"
CUS-1461450,"$9,163"
CUS-1468700,"$4,556"
CUS-1470750,"$7,603"
CUS-1475750,"$1,579"
CUS-1477500,$241
CUS-1477550,$241
CUS-1477750,$241
CUS-1477850,$241
CUS-1478500,"$7,734"
CUS-1478550,"$3,289"
CUS-1483450,"$9,244"
CUS-1483600,"$1,639"
CUS-1495850,"$7,431"
CUS-1495900,"$8,140"
CUS-1508100,"$4,255"
CUS-1509500,"$4,211"
CUS-1512050,$526
CUS-1514550,"$9,943"
CUS-1521400,"$2,623"
CUS-1521500,"$3,937"
CUS-1527250,"$6,439"
CUS-1538950,"$6,405"
CUS-1558000,"$7,752"
CUS-1586950,"$8,011"
CUS-1587350,"$4,300"
CUS-1595750,"$4,424"
CUS-1600650,"$3,188"
CUS-1607100,"$6,820"
CUS-1442350,$350
CUS-1444600,"$2,214"
CUS-1481750,"$1,490"
CUS-590150,"$4,672"
CUS-774850,"$8,728"
CUS-775950,"$2,884"
CUS-777900,"$1,739"
CUS-783250,"$8,353"
CUS-785300,"$1,078"
CUS-806850,"$1,921"
CUS-807100,"$1,563"
CUS-908900,"$3,923"
CUS-908950,"$2,774"
CUS-1002400,"$6,716"
CUS-1091250,"$3,459"
CUS-1091300,"$3,459"
CUS-1267350,"$1,607"
CUS-1293150,"$3,314"
CUS-266200,"$1,363"
CUS-268550,"$2,965"
CUS-271550,"$2,475"
CUS-1434650,$716
CUS-1447200,"$3,412"
CUS-1447350,"$3,412"
CUS-1447650,"$3,193"
CUS-1451200,"$5,406"
CUS-1455200,"$7,475"
CUS-1457950,"$16,896"
CUS-1462000,"$4,828"
CUS-1478200,"$4,092"
CUS-1485600,"$1,838"
CUS-1485800,"$1,300"
CUS-1488800,$266
CUS-1488850,$411
CUS-1493150,$513
CUS-1496100,$27
CUS-1496150,$27
CUS-1496200,$26
CUS-1496350,$26
CUS-1496400,$661
CUS-1496750,$466
CUS-1501300,"$1,208"
CUS-1509900,"$3,000"
CUS-1528100,"$22,589"
CUS-1552950,"$3,459"
CUS-1553000,"$3,459"
CUS-1553050,"$4,537"
CUS-1553100,"$3,459"
CUS-291650,"$3,211"
CUS-1569700,"$1,071"
CUS-1569750,"$1,071"
CUS-1578450,"$2,851"
CUS-1600450,"$2,851"
CUS-303900,"$6,127"
CUS-332050,"$5,096"
CUS-169050,$490
